Kood EMTAK 2008;Tegevusala tekst EMTAK 2008;Kood EMTAK 2025;Tegevusala tekst EMTAK 2025;Märkused
68201;Enda või renditud kinnisvara üürileandmine ja käitus;55901;Muu majutus;
68201;Enda või renditud kinnisvara üürileandmine ja käitus;68201;Enda või renditud kinnisvara üürileandmine ja käitus;
683;Kinnisvaraalane tegevus tasu eest või lepingu alusel;683;Kinnisvaraalane tegevus tasu eest või lepingu alusel;
6831;Kinnisvarabüroode tegevus;6831;Kinnisvarateenuste vahendusteenus;
6831;Kinnisvarabüroode tegevus;6832;Muu kinnisvaraalane tegevus tasu eest või lepingu alusel;
68311;Kinnisvarabüroode tegevus;68311;Kinnisvarateenuste vahendusteenus;
68311;Kinnisvarabüroode tegevus;68321;Hoonete ja üürimajade haldus (korteriühistud, elamuühistud, hooneühistud jms);
6832;Kinnisvara haldus tasu eest või lepingu alusel;6832;Muu kinnisvaraalane tegevus tasu eest või lepingu alusel;
68321;Hoonete ja üürimajade haldus (korteriühistud, elamuühistud, hooneühistud jms);68321;Hoonete ja üürimajade haldus (korteriühistud, elamuühistud, hooneühistud jms);
68322;Aiandus- ja suvilaühistute jms haldus;68322;Aiandus- ja suvilaühistute haldus;
68329;Muu kinnisvarahaldus või haldusega seotud tegevused;68329;Muu kinnisvarahaldus või haldusega seotud tegevused;
69;Juriidilised toimingud ja arvepidamine;69;Juriidilised toimingud ja arvepidamine;
691;Juriidilised toimingud;691;Juriidilised toimingud;
6910;Juriidilised toimingud;6910;Juriidilised toimingud;
69101;Advokaatide ja advokaadibüroode tegevus;69101;Advokaatide ja advokaadibüroode tegevus;
69102;Õigusnõustajate ja õigusbüroode tegevus;69102;Õigusnõustajate ja õigusbüroode tegevus;
69103;Notarite tegevus;69103;Notarite tegevus;
69109;Muud juriidilised toimingud;69109;Muud juriidilised toimingud;
692;"Arvepidamine, raamatupidamine ja auditeerimine; maksualane nõustamine";692;"Arvepidamine, raamatupidamine ja auditeerimine; maksualane nõustamine";
6920;"Arvepidamine, raamatupidamine ja auditeerimine; maksualane nõustamine";6920;"Arvepidamine, raamatupidamine ja auditeerimine; maksualane nõustamine";
69201;Auditeerimine;69201;Auditeerimine;
69202;Raamatupidamine, maksualane nõustamine;69202;Raamatupidamine, maksualane nõustamine;
70;"Peakontorite tegevus; juhtimisalane nõustamine";70;Peakontorite tegevus ning juhtimisalane nõustamine;
70;"Peakontorite tegevus; juhtimisalane nõustamine";73;Reklaamindus, turu-uuringud ja suhtekorraldus;
701;Peakontorite tegevus;701;Peakontorite tegevus;
7010;Peakontorite tegevus;7010;Peakontorite tegevus;
70101;Peakontorite tegevus;70101;Peakontorite tegevus;
702;Juhtimisalane nõustamine;702;Äri- ja muu juhtimisalane nõustamine;
702;Juhtimisalane nõustamine;733;Suhtekorraldus ja teabevahetus;
7021;Suhtekorraldus ja teabevahetus;7330;Suhtekorraldus ja teabevahetus;
70211;Suhtekorraldus ja teabevahetus;73301;Suhtekorraldus ja teabevahetus;
7022;Äri- ja muu juhtimisalane nõustamine;7020;Äri- ja muu juhtimisalane nõustamine;
70221;Ärinõustamine jm juhtimisalane nõustamine;70201;Äri- ja muu juhtimisalane nõustamine;
71;"Arhitekti- ja inseneritegevused; teimimine ja analüüs";71;"Arhitekti- ja inseneritegevused; tehniline katsetamine ja analüüs";
711;Arhitekti- ja inseneritegevused ning nendega seotud tehniline nõustamine;711;Arhitekti- ja inseneritegevused ning nendega seotud tehniline konsultatsioon;
7111;Arhitektitegevused;7111;Arhitektitegevused;
71111;Arhitektitegevused;71111;Arhitektitegevused;
7112;Inseneritegevused ning nendega seotud tehniline nõustamine;7112;Inseneritegevused ning nendega seotud tehniline konsultatsioon;
71121;Ehituslik insener-tehniline projekteerimine ja nõustamine;71121;Ehituslik insener-tehniline projekteerimine ja nõustamine;
71122;Geoloogilised ja geodeetilised uurimistööd;71122;Geoloogilised ja geodeetilised uurimistööd;
71129;Muud insener-tehnilised tegevusalad;71129;Muud insener-tehnilised tegevusalad;
712;Teimimine ja analüüs;712;Tehniline katsetamine ja analüüs;
7120;Teimimine ja analüüs;7120;Tehniline katsetamine ja analüüs;
71201;Autode tehniline ülevaatus;71201;Autode tehniline ülevaatus;
71209;Muu teimimine ja analüüs;71209;Muu tehniline katsetamine ja analüüs;
72;Teadus- ja arendustegevus;72;Teadus- ja arendustegevus;
721;Teadus- ja arendustegevus loodus- ja tehnikateaduste vallas;721;Teadus- ja arendustegevus loodus- ja tehnikateaduste vallas;
7211;Teadus- ja arendustegevus biotehnoloogia vallas;7210;Teadus- ja arendustegevus loodus- ja tehnikateaduste vallas;
72111;Teadus- ja arendustegevus biotehnoloogia vallas;72101;Teadus- ja arendustegevus loodus- ja tehnikateaduste vallas;
7219;Teadus- ja arendustegevus muude loodus- ja tehnikateaduste vallas;7210;Teadus- ja arendustegevus loodus- ja tehnikateaduste vallas;
72191;Teadus- ja arendustegevus muude loodus- ja tehnikateaduste vallas;72101;Teadus- ja arendustegevus loodus- ja tehnikateaduste vallas;
722;Teadus- ja arendustegevus sotsiaal- ja humanitaarteaduste vallas;722;Teadus- ja arendustegevus sotsiaal- ja humanitaarteaduste vallas;
7220;Teadus- ja arendustegevus sotsiaal- ja humanitaarteaduste vallas;7220;Teadus- ja arendustegevus sotsiaal- ja humanitaarteaduste vallas;
72201;Teadus- ja arendustegevus sotsiaal- ja humanitaarteaduste vallas;72201;Teadus- ja arendustegevus sotsiaal- ja humanitaarteaduste vallas;
73;Reklaamindus ja turu-uuringud;73;Reklaamindus, turu-uuringud ja suhtekorraldus;
731;Reklaamindus;731;Reklaamindus;
7311;Reklaamiagentuurid;7311;Reklaamiagentuuride tegevus;
73111;Reklaamiagentuurid;73111;Reklaamiagentuuride tegevus;
7312;Reklaami vahendamine meedias;7312;Reklaami vahendamine meedias;
73121;Reklaami vahendamine meedias;73121;Reklaami vahendamine meedias;
732;Turu-uuringud ja avaliku arvamuse küsitlused;732;Turu-uuringud ja avaliku arvamuse küsitlused;
7320;Turu-uuringud ja avaliku arvamuse küsitlused;7320;Turu-uuringud ja avaliku arvamuse küsitlused;
73201;Turu-uuringud ja avaliku arvamuse küsitlused;73201;Turu-uuringud ja avaliku arvamuse küsitlused;
74;Muu kutse-, teadus- ja tehnikaalane tegevus;18;Trükindus ja salvestiste paljundus;
74;Muu kutse-, teadus- ja tehnikaalane tegevus;74;Muu kutse-, teadus- ja tehnikaalane tegevus;
74;Muu kutse-, teadus- ja tehnikaalane tegevus;80;Juurdlus ja turvatöö;
741;Disainerite tegevus;741;Disainerite tegevus;
7410;Disainerite tegevus;7411;Tööstustoote- ja moedisain;
7410;Disainerite tegevus;7412;Graafiline disain ja visuaalne kommunikatsioon;
7410;Disainerite tegevus;7413;Sisekujundus;
7410;Disainerite tegevus;7414;Muu disainerite tegevus;
74101;Disainerite tegevus;74111;Tööstustoote- ja moedisain;
74101;Disainerite tegevus;74121;Graafiline disain ja visuaalne kommunikatsioon;
74101;Disainerite tegevus;74131;Sisekujundus;
74101;Disainerite tegevus;74141;Muu disainerite tegevus;
742;Fotograafia;181;Trükindus ja selle sidusalad;
742;Fotograafia;742;Fotograafia;
7420;Fotograafia;1812;Muu trükkimine;
7420;Fotograafia;7420;Fotograafia;
74201;Fotograafia;18129;Mujal liigitamata trükkimine, k.a siiditrükk;
74201;Fotograafia;74201;Fotograafia;
743;Kirjalik ja suuline tõlge;743;Kirjalik ja suuline tõlge;
7430;Kirjalik ja suuline tõlge;7430;Kirjalik ja suuline tõlge;
74301;Kirjalik ja suuline tõlge;74301;Kirjalik ja suuline tõlge;
749;Muu mujal liigitamata kutse-, teadus- ja tehnikaalane tegevus;749;Muu mujal liigitamata kutse-, teadus- ja tehnikaalane tegevus;
749;Muu mujal liigitamata kutse-, teadus- ja tehnikaalane tegevus;800;Juurdlus ja turvatöö;
7490;Muu mujal liigitamata kutse-, teadus- ja tehnikaalane tegevus;7491;Patentide vahendamine ja turundus;
7490;Muu mujal liigitamata kutse-, teadus- ja tehnikaalane tegevus;7499;Kogu muu mujal liigitamata kutse-, teadus- ja tehnikaalane tegevus;
7490;Muu mujal liigitamata kutse-, teadus- ja tehnikaalane tegevus;8009;Mujal liigitamata turvatöö;
74901;Muu mujal liigitamata kutse-, teadus- ja tehnikaalane tegevus;74911;Patentide vahendamine ja turundus;
74901;Muu mujal liigitamata kutse-, teadus- ja tehnikaalane tegevus;74991;Kogu muu mujal liigitamata kutse-, teadus- ja tehnikaalane tegevus;
74901;Muu mujal liigitamata kutse-, teadus- ja tehnikaalane tegevus;80091;Mujal liigitamata turvatöö;
75;Veterinaaria;75;Veterinaaria;
750;Veterinaaria;750;Veterinaaria;
7500;Veterinaaria;7500;Veterinaaria;
75001;Veterinaaria;75001;Veterinaaria;
77;Rentimine ja kasutusrent;77;Rentimine ja kasutusrent;
771;Mootorsõidukite rentimine ja kasutusrent;771;Mootorsõidukite rentimine ja kasutusrent;
7711;Sõiduautode ja väikebusside (täismassiga alla 3,5 t) rentimine ja kasutusrent;7711;Sõiduautode ja väikebusside rentimine ja kasutusrent;
77111;Sõiduautode ja väikebusside (täismassiga alla 3,5 t) rentimine ja kasutusrent;77111;Sõiduautode ja väikebusside (täismassiga kuni 3,5 t) rentimine ja kasutusrent;
7712;Veokite rentimine ja kasutusrent;7711;Sõiduautode ja väikebusside rentimine ja kasutusrent;
7712;Veokite rentimine ja kasutusrent;7712;Veokite rentimine ja kasutusrent;
77121;Veokite rentimine ja kasutusrent;77111;Sõiduautode ja väikebusside (täismassiga kuni 3,5 t) rentimine ja kasutusrent;
77121;Veokite rentimine ja kasutusrent;77121;Veokite rentimine ja kasutusrent;
772;Tarbeesemete ja kodumasinate väljaüürimine ja kasutusrent;772;Tarbeesemete ja kodumasinate väljaüürimine ja kasutusrent;
7721;Vabaaja- ja sporditarvete väljaüürimine ja kasutusrent;7721;Vabaaja- ja sporditarvete väljaüürimine ja kasutusrent;
77211;Vabaaja- ja sporditarvete väljaüürimine ja kasutusrent;77211;Vabaaja- ja sporditarvete väljaüürimine ja kasutusrent;
7722;Videokassettide ja DVD-de laenutamine;7722;Muude tarbeesemete ja kodumasinate väljaüürimine ja kasutusrent;
77221;Videokassettide ja DVD-de laenutamine;77221;Muude tarbeesemete ja kodumasinate väljaüürimine ja kasutusrent;
7729;Muude tarbeesemete ja kodumasinate väljaüürimine ja kasutusrent;7722;Muude tarbeesemete ja kodumasinate väljaüürimine ja kasutusrent;
77291;Muude tarbeesemete ja kodumasinate väljaüürimine ja kasutusrent;77221;Muude tarbeesemete ja kodumasinate väljaüürimine ja kasutusrent;
773;Muude masinate, seadmete ja materiaalse vara rentimine ja kasutusrent;771;Mootorsõidukite rentimine ja kasutusrent;
773;Muude masinate, seadmete ja materiaalse vara rentimine ja kasutusrent;773;Muude masinate, seadmete ja materiaalse vara rentimine ja kasutusrent;
7731;Põllumajandusmasinate ja -seadmete rentimine ja kasutusrent;7731;Põllumajandusmasinate ja -seadmete rentimine ja kasutusrent;
77311;Põllumajandusmasinate ja -seadmete rentimine ja kasutusrent;77311;Põllumajandusmasinate ja -seadmete rentimine ja kasutusrent;
7732;Ehitusmasinate ja -seadmete rentimine ja kasutusrent;7732;Ehitusmasinate ja -seadmete rentimine ja kasutusrent;
77321;Ehitusmasinate ja -seadmete rentimine ja kasutusrent;77321;Ehitusmasinate ja -seadmete rentimine ja kasutusrent;
7733;Kontorimasinate ja -seadmete rentimine ja kasutusrent, k.a arvutid;7733;Kontorimasinate ja -seadmete ning arvutite rentimine ja kasutusrent;
77331;Kontorimasinate ja -seadmete rentimine ja kasutusrent, k.a arvutid;77331;Kontorimasinate ja -seadmete ning arvutite rentimine ja kasutusrent;
7734;Veetranspordivahendite rentimine ja kasutusrent;7734;Veetranspordivahendite rentimine ja kasutusrent;
77341;Veetranspordivahendite rentimine ja kasutusrent;77341;Veetranspordivahendite rentimine ja kasutusrent;
7735;Õhutranspordivahendite rentimine ja kasutusrent;7735;Õhutranspordivahendite rentimine ja kasutusrent;
77351;Õhutranspordivahendite rentimine ja kasutusrent;77351;Õhutranspordivahendite rentimine ja kasutusrent;
7739;Mujal liigitamata masinate, seadmete jm materiaalse vara rentimine ja kasutusrent;7711;Sõiduautode ja väikebusside rentimine ja kasutusrent;
7739;Mujal liigitamata masinate, seadmete jm materiaalse vara rentimine ja kasutusrent;7712;Veokite rentimine ja kasutusrent;
7739;Mujal liigitamata masinate, seadmete jm materiaalse vara rentimine ja kasutusrent;7739;Muude mujal liigitamata masinate, seadmete jm materiaalse vara rentimine ja kasutusrent;
77391;Raudteeveeremi rentimine;77391;Raudteeveeremi rentimine ja kasutusrent;
77399;Muu mujal liigitamata masinate, seadmete jm materiaalse vara rentimine ja kasutusrent;77111;Sõiduautode ja väikebusside (täismassiga kuni 3,5 t) rentimine ja kasutusrent;
77399;Muu mujal liigitamata masinate, seadmete jm materiaalse vara rentimine ja kasutusrent;77121;Veokite rentimine ja kasutusrent;
77399;Muu mujal liigitamata masinate, seadmete jm materiaalse vara rentimine ja kasutusrent;77399;Muu mujal liigitamata masinate, seadmete jm materiaalse vara rentimine ja kasutusrent;
774;Intellektuaalomandi ja sarnaste toodete (v.a autoriõigusega tööd) rentimine;774;Intellektuaalomandi ja sarnaste toodete (v.a autoriõigusega tööd) rentimine;
7740;Intellektuaalomandi ja sarnaste toodete (v.a autoriõigusega tööd) rentimine;7740;Intellektuaalomandi ja sarnaste toodete (v.a autoriõigusega tööd) rentimine;
77401;Intellektuaalomandi ja sarnaste toodete (v.a autoriõigusega tööd) rentimine;77401;Intellektuaalomandi ja sarnaste toodete (v.a autoriõigusega tööd) rentimine;
78;Tööhõive;78;Tööhõive;
781;Tööhõiveagentuuride tegevus;781;Tööhõiveagentuuride tegevus;
7810;Tööhõiveagentuuride tegevus;7810;Tööhõiveagentuuride tegevus;
78101;Tööhõiveagentuuride tegevus;78101;Tööhõiveagentuuride tegevus;
782;Ajutise tööjõu rent;782;Tööjõurent ja muud tööjõuteenused;
7820;Ajutise tööjõu rent;7820;Tööjõurent ja muud tööjõuteenused;
78201;Ajutise tööjõu rent;78201;Tööjõurent ;
783;Muu inimressursiga varustamine;782;Tööjõurent ja muud tööjõuteenused;
7830;Muu inimressursiga varustamine;7820;Tööjõurent ja muud tööjõuteenused;
78301;Muu inimressursiga varustamine;78209;Muud tööjõuteenused;
79;Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus;52;Laondus ja veondust abistavad tegevusalad;
79;Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus;55;Majutus;
79;Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus;56;Toidu ja joogi serveerimine;
79;Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus;77;Rentimine ja kasutusrent;
79;Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus;79;Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus;
79;Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus;82;Büroohaldus, büroode ja muu äritegevuse abitegevused;
791;Reisibüroode ja reisikorraldajate tegevus;523;Veondusega seotud vahendusteenus;
791;Reisibüroode ja reisikorraldajate tegevus;554;Majutusega seotud vahendusteenus;
791;Reisibüroode ja reisikorraldajate tegevus;775;Materiaalse ja immateriaalse vara (v.a finantsvara) rentimise ja kasutusrendi vahendusteenus;
791;Reisibüroode ja reisikorraldajate tegevus;791;Reisibüroode ja reisikorraldajate tegevus;
7911;Reisibüroode tegevus;5232;Sõitjateveoga seotud vahendusteenus;
7911;Reisibüroode tegevus;5540;Majutusega seotud vahendusteenus;
7911;Reisibüroode tegevus;7751;Autode, autoelamute ja haagiste rentimise ja kasutusrendi vahendusteenus;
7911;Reisibüroode tegevus;7911;Reisibüroode tegevus;
79111;Reisibüroode tegevus;52321;Sõitjateveoga seotud vahendusteenus;
79111;Reisibüroode tegevus;55401;Majutusega seotud vahendusteenus;
79111;Reisibüroode tegevus;77511;Autode, autoelamute ja haagiste rentimise ja kasutusrendi vahendusteenus;
79111;Reisibüroode tegevus;79111;Reisibüroode tegevus;
7912;Reisikorraldajate tegevus;7912;Reisikorraldajate tegevus;
79121;Reisikorraldajate tegevus;79121;Reisikorraldajate tegevus;
799;Muu reserveerimine ja sellega seotud tegevus;523;Veondusega seotud vahendusteenus;
799;Muu reserveerimine ja sellega seotud tegevus;554;Majutusega seotud vahendusteenus;
799;Muu reserveerimine ja sellega seotud tegevus;564;Toidu ja joogi serveerimise vahendusteenus;
799;Muu reserveerimine ja sellega seotud tegevus;775;Materiaalse ja immateriaalse vara (v.a finantsvara) rentimise ja kasutusrendi vahendusteenus;
799;Muu reserveerimine ja sellega seotud tegevus;799;Muu reserveerimine ja sellega seotud tegevus;
799;Muu reserveerimine ja sellega seotud tegevus;824;Mujal liigitamata äritegevust abistavate tegevuste vahendamine;
7990;Muu reserveerimine ja sellega seotud tegevus;5232;Sõitjateveoga seotud vahendusteenus;
7990;Muu reserveerimine ja sellega seotud tegevus;5540;Majutusega seotud vahendusteenus;
7990;Muu reserveerimine ja sellega seotud tegevus;5640;Toidu ja joogi serveerimise vahendusteenus;
7990;Muu reserveerimine ja sellega seotud tegevus;7751;Autode, autoelamute ja haagiste rentimise ja kasutusrendi vahendusteenus;
7990;Muu reserveerimine ja sellega seotud tegevus;7990;Muu reserveerimine ja sellega seotud tegevus;
7990;Muu reserveerimine ja sellega seotud tegevus;8240;Mujal liigitamata äritegevust abistavate tegevuste vahendamine;
79901;Muu reisimisega seotud reserveerimine, sh giidide, piletiagentuuride ja turismiinfopunktide tegevus;52321;Sõitjateveoga seotud vahendusteenus;
79901;Muu reisimisega seotud reserveerimine, sh giidide, piletiagentuuride ja turismiinfopunktide tegevus;55401;Majutusega seotud vahendusteenus;
79901;Muu reisimisega seotud reserveerimine, sh giidide, piletiagentuuride ja turismiinfopunktide tegevus;56401;Toidu ja joogi serveerimise vahendusteenus;
79901;Muu reisimisega seotud reserveerimine, sh giidide, piletiagentuuride ja turismiinfopunktide tegevus;77511;Autode, autoelamute ja haagiste rentimise ja kasutusrendi vahendusteenus;
79901;Muu reisimisega seotud reserveerimine, sh giidide, piletiagentuuride ja turismiinfopunktide tegevus;79901;Muu reserveerimine ja sellega seotud tegevus;
79901;Muu reisimisega seotud reserveerimine, sh giidide, piletiagentuuride ja turismiinfopunktide tegevus;82401;Mujal liigitamata äritegevust abistavate tegevuste vahendamine;
80;Turvatöö ja juurdlus;80;Juurdlus ja turvatöö;
801;Turvatöö, v.a avalik korrakaitse;800;Juurdlus ja turvatöö;
8010;Turvatöö, v.a avalik korrakaitse;8001;Juurdlus ja turvatöö, v.a avalik korrakaitse;
80101;Turvatöö, v.a avalik korrakaitse;80011;Juurdlus ja turvatöö, v.a avalik korrakaitse;
802;Turvasüsteemide käitus;800;Juurdlus ja turvatöö;
8020;Turvasüsteemide käitus;8009;Mujal liigitamata turvatöö;
80201;Turvasüsteemide käitus;80091;Mujal liigitamata turvatöö;
803;Juurdlus;800;Juurdlus ja turvatöö;
8030;Juurdlus;8001;Juurdlus ja turvatöö, v.a avalik korrakaitse;
80301;Juurdlus;80011;Juurdlus ja turvatöö, v.a avalik korrakaitse;
81;Hoonete ja maastike hooldus;81;Hoonete ja maastike hooldus;
81;Hoonete ja maastike hooldus;96;Teenindus;
811;Hoonehalduse abitegevused;811;Hoonehalduse kombineeritud teenus;
8110;Hoonehalduse abitegevused;8110;Hoonehalduse kombineeritud teenus;
81101;Hoonehalduse abitegevused;81101;Hoonehalduse kombineeritud teenus;
812;Puhastustegevus;812;Puhastustegevus;
812;Puhastustegevus;969;Muu teenindus;
8121;Hoonete üldpuhastus;8121;Hoonete üldpuhastus;
8121;Hoonete üldpuhastus;9691;Koduteenindus;
81211;Hoonete üldpuhastus;81211;Hoonete üldpuhastus;
81211;Hoonete üldpuhastus;96911;Koduteenindus;
8122;Hoonete muu puhastus ja tööstuslik puhastustegevus;8122;Hoonete muu puhastus ja tööstuslik puhastustegevus;
81221;Hoonete muu puhastus ja tööstuslik puhastustegevus;81221;Hoonete muu puhastus ja tööstuslik puhastustegevus;
8129;Muu puhastustegevus;8123;Muu puhastustegevus;
81291;Muu puhastustegevus;81231;Muu puhastustegevus;
813;Maastiku hooldus ja korrashoid;813;Maastiku hooldus ja korrashoid;
8130;Maastiku hooldus ja korrashoid;8130;Maastiku hooldus ja korrashoid;
81301;Maastiku hooldus ja korrashoid;81301;Maastiku hooldus ja korrashoid;
82;Büroohaldus, büroode ja muu äritegevuse abitegevused;18;Trükindus ja salvestiste paljundus;
82;Büroohaldus, büroode ja muu äritegevuse abitegevused;43;Eriehitustööd;
82;Büroohaldus, büroode ja muu äritegevuse abitegevused;46;Hulgikaubandus;
82;Büroohaldus, büroode ja muu äritegevuse abitegevused;47;Jaekaubandus;
82;Büroohaldus, büroode ja muu äritegevuse abitegevused;53;Posti- ja kullerteenused;
82;Büroohaldus, büroode ja muu äritegevuse abitegevused;61;Elektroonilise side teenus;
82;Büroohaldus, büroode ja muu äritegevuse abitegevused;77;Rentimine ja kasutusrent;
82;Büroohaldus, büroode ja muu äritegevuse abitegevused;82;Büroohaldus, büroode ja muu äritegevuse abitegevused;
82;Büroohaldus, büroode ja muu äritegevuse abitegevused;85;Haridus;
82;Büroohaldus, büroode ja muu äritegevuse abitegevused;86;Tervishoid;
82;Büroohaldus, büroode ja muu äritegevuse abitegevused;87;Hoolekandeasutuste tegevus;
82;Büroohaldus, büroode ja muu äritegevuse abitegevused;93;Sporditegevus ning lõbustus- ja vaba aja tegevused;
82;Büroohaldus, büroode ja muu äritegevuse abitegevused;95;Arvutite, tarbeesemete ja kodutarvete ning mootorsõidukite ja mootorrataste parandus ja hooldus;
82;Büroohaldus, büroode ja muu äritegevuse abitegevused;96;Teenindus;
821;Büroohaldus ja selle abitegevused;181;Trükindus ja selle sidusalad;
821;Büroohaldus ja selle abitegevused;821;Büroohaldus ja selle abitegevused;
8211;Büroohaldus;8210;Büroohaldus ja selle abitegevused;
82111;Büroohaldus, kombineeritud sekretäriteenus;82101;Büroohaldus ja selle abitegevused;
8219;Valguskoopiad, dokumentide koostamine ja muud büroo abitegevused;1812;Muu trükkimine;
8219;Valguskoopiad, dokumentide koostamine ja muud büroo abitegevused;8210;Büroohaldus ja selle abitegevused;
82191;Valguskoopiad, dokumentide koostamine ja muud büroo abitegevused;18129;Mujal liigitamata trükkimine, k.a siiditrükk;
82191;Valguskoopiad, dokumentide koostamine ja muud büroo abitegevused;82101;Büroohaldus ja selle abitegevused;
822;Kõnekeskuste tegevus;822;Kõnekeskuste tegevus;
8220;Kõnekeskuste tegevus;8220;Kõnekeskuste tegevus;
82201;Kõnekeskuste tegevus, telemarketing;82201;Kõnekeskuste tegevus;
823;Nõupidamiste ja messide korraldamine;823;Konverentside ja messide korraldamine;
823;Nõupidamiste ja messide korraldamine;855;Muu õpe;
823;Nõupidamiste ja messide korraldamine;932;Lõbustus- ja vaba aja tegevused;
8230;Nõupidamiste ja messide korraldamine;8230;Konverentside ja messide korraldamine;
8230;Nõupidamiste ja messide korraldamine;8559;Muu mujal liigitamata õpe;
8230;Nõupidamiste ja messide korraldamine;9329;Mujal liigitamata lõbustus- ja vaba aja tegevused;
82301;Nõupidamiste ja messide korraldamine;82301;Konverentside ja messide korraldamine;
82301;Nõupidamiste ja messide korraldamine;85599;Muu mujal liigitamata õpe;
82301;Nõupidamiste ja messide korraldamine;93291;Mujal liigitamata lõbustus- ja vaba aja tegevused;
829;Mujal liigitamata äritegevust abistavad tegevused;436;Eriehitustööde vahendusteenus;
829;Mujal liigitamata äritegevust abistavad tegevused;461;Hulgimüük vahendustasu või lepingute alusel;
829;Mujal liigitamata äritegevust abistavad tegevused;479;Jaemüügiga seotud vahendusteenus;
829;Mujal liigitamata äritegevust abistavad tegevused;533;Posti- ja kullerteenuste vahendusteenus;
829;Mujal liigitamata äritegevust abistavad tegevused;612;Elektroonilise side edasimüük ja vahendusteenused;
829;Mujal liigitamata äritegevust abistavad tegevused;775;Materiaalse ja immateriaalse vara (v.a finantsvara) rentimise ja kasutusrendi vahendusteenus;
829;Mujal liigitamata äritegevust abistavad tegevused;824;Mujal liigitamata äritegevust abistavate tegevuste vahendamine;
829;Mujal liigitamata äritegevust abistavad tegevused;829;Mujal liigitamata äritegevust abistavad tegevused;
829;Mujal liigitamata äritegevust abistavad tegevused;856;Haridust abistavad tegevused;
829;Mujal liigitamata äritegevust abistavad tegevused;869;Muud tervishoiualad;
829;Mujal liigitamata äritegevust abistavad tegevused;879;Muude hoolekandeasutuste tegevus;
829;Mujal liigitamata äritegevust abistavad tegevused;954;Arvutite, tarbeesemete ja kodutarvete ning mootorsõidukite ja mootorrataste paranduse ja hoolduse vahendamine;
829;Mujal liigitamata äritegevust abistavad tegevused;964;Teeninduse vahendamine;
8291;Inkassoteenus ja krediidiinfo;8291;Inkassoteenus ja krediidiinfo;
82911;Inkassoteenus ja krediidiinfo;82911;Inkassoteenus ja krediidiinfo;
8292;Pakendamine;8292;Pakendamine;
82921;Pakendamine;82921;Pakendamine;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;4360;Eriehitustööde vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;4611;Põllumajandustoorme, elusloomade, tekstiilitoorme ja pooltoodete hulgimüügi vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;4612;Kütuste, maakide, metallide ja tööstuskemikaalide hulgimüügi vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;4613;Puidu ja ehitusmaterjalide hulgimüügi vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;4614;Masinate, tööstusseadmete, laevade ja õhusõidukite hulgimüügi vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;4615;Mööbli, kodutarvete ja rauakaupade hulgimüügi vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;4616;Tekstiili, rõivaste, jalatsite ja nahktoodete hulgimüügi vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;4617;Toidukaupade, jookide ja tubakatoodete hulgimüügi vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;4618;Muude kindlate kaupade hulgimüügi vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;4619;Spetsialiseerimata hulgimüügi vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;4791;Spetsialiseerimata jaemüügi vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;4792;Spetsialiseeritud jaemüügi vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;5330;Posti- ja kullerteenuste vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;6120;Elektroonilise side edasimüük ja vahendusteenused;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;7751;Autode, autoelamute ja haagiste rentimise ja kasutusrendi vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;7752;Muu materiaalse ja immateriaalse vara (v.a finantsvara) rentimise ja kasutusrendi vahendusteenus;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;8240;Mujal liigitamata äritegevust abistavate tegevuste vahendamine;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;8291;Inkassoteenus ja krediidiinfo;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;8299;Muud mujal liigitamata äritegevust abistavad tegevused;
8299;Muud mujal liigitamata äritegevust abistavad tegevused;8561;Kursuste ja juhendajate vahendamine;
