Kood EMTAK 2008;Tegevusala tekst EMTAK 2008;Kood EMTAK 2025;Tegevusala tekst EMTAK 2025;Märkused
1020;Kala, vähilaadsete ja limuste töötlemine ja säilitamine;1020;Kala, koorikloomade ja molluskite töötlemine ja säilitamine;
10201;Kala, vähilaadsete ja limuste töötlemine ja säilitamine;10201;Kala, koorikloomade ja molluskite töötlemine ja säilitamine;
103;Puu- ja köögivilja töötlemine ja säilitamine;103;Puu- ja köögivilja töötlemine ja säilitamine;
1031;Kartuli töötlemine ja säilitamine;1031;Kartuli töötlemine ja säilitamine;
10311;Kartuli töötlemine ja säilitamine;10311;Kartuli töötlemine ja säilitamine;
1032;Puu- ja köögiviljamahla tootmine;1032;Puu- ja köögiviljamahla tootmine;
10321;Puu- ja köögiviljamahla tootmine;10321;Puu- ja köögiviljamahla tootmine;
1039;Muu puu- ja köögivilja töötlemine ja säilitamine;1039;Muu puu- ja köögivilja töötlemine ja säilitamine;
10391;Muu puu- ja köögivilja töötlemine ja säilitamine;10391;Muu puu- ja köögivilja töötlemine ja säilitamine;
104;Taimse ja loomse õli ja rasva tootmine;104;Taimse ja loomse õli ja rasva tootmine;
1041;Õli ja rasva tootmine;1041;Õli ja rasva tootmine;
10411;Õli ja rasva tootmine;10411;Õli ja rasva tootmine;
1042;Margariini jms toidurasva tootmine;1042;Margariini jms toidurasva tootmine;
10421;Margariini jms toidurasva tootmine;10421;Margariini jms toidurasva tootmine;
105;Piimatoodete tootmine;105;Piimatoodete ja toidujää tootmine;
1051;Piima töötlemine, piimatoodete ja juustu tootmine;1051;Piimatoodete tootmine;
10511;Värske piima töötlemine, rõõsa koore tootmine;10511;Värske piima töötlemine, rõõsa koore tootmine;
10512;Juustu- ja kohupiimatootmine;10512;Juustu ja kohupiima tootmine;
10519;Muude piimatoodete tootmine, sh või tootmine;10519;Muude piimatoodete, k.a või tootmine;
1052;Jäätisetootmine;1052;Jäätise ja muu toidujää tootmine;
10521;Jäätisetootmine;10521;Jäätise ja muu toidujää tootmine;
106;Jahu ja tangainete, tärklise ja tärklisetoodete tootmine;106;Jahu ja tangainete, tärklise ja tärklisetoodete tootmine;
1061;Jahu ja tangainete tootmine;1061;Jahu ja tangainete tootmine;
10611;Jahu ja tangainete tootmine, k.a jahvatamine;10611;Jahu ja tangainete tootmine;
1062;Tärklise ja tärklisetoodete tootmine;1062;Tärklise ja tärklisetoodete tootmine;
10621;Tärklise ja tärklisetoodete tootmine;10621;Tärklise ja tärklisetoodete tootmine;
107;Pagari- ja makarontoodete tootmine;107;Pagari- ja makarontoodete tootmine;
1071;"Leivatootmine; säilitusaineteta pagaritoodete tootmine";1071;"Leivatootmine; lühikese realiseerimisajaga pagaritoodete tootmine";
10711;"Leiva- ja saiatootmine; säilitusaineteta pagaritoodete tootmine";10711;"Leiva- ja saiatootmine; lühikese realiseerimisajaga pagaritoodete tootmine";
1072;"Kuiviku- ja küpsisetootmine; säilitusainetega pagaritoodete tootmine";1072;Kuivikute, küpsiste, pika realiseerimisajaga pagaritoodete tootmine;
10721;"Kuiviku- ja küpsisetootmine; säilitusainetega pagaritoodete tootmine";10721;Kuivikute, küpsiste, pika realiseerimisajaga pagaritoodete tootmine;
1073;Makaronide, nuudlite, kuskussi jms makarontoodete tootmine;1073;Makarontoodete tootmine;
10731;Makaronide, nuudlite, kuskussi jms makarontoodete tootmine;10731;Makarontoodete tootmine;
108;Muude toiduainete tootmine;106;Jahu ja tangainete, tärklise ja tärklisetoodete tootmine;
108;Muude toiduainete tootmine;107;Pagari- ja makarontoodete tootmine;
108;Muude toiduainete tootmine;108;Muude toiduainete tootmine;
108;Muude toiduainete tootmine;110;Joogitootmine;
1081;Suhkrutootmine;1081;Suhkrutootmine;
10811;Suhkrutootmine;10811;Suhkrutootmine;
1082;Kakao, šokolaadi ja suhkrukondiitritoodete tootmine;1082;Kakao, šokolaadi ja suhkrukondiitritoodete tootmine;
10821;Kakao, šokolaadi ja suhkrukondiitritoodete tootmine;10821;Kakao, šokolaadi ja suhkrukondiitritoodete tootmine;
1083;Tee ja kohvi töötlemine;1083;Tee ja kohvi töötlemine;
10831;Tee ja kohvi töötlemine;10831;Tee ja kohvi töötlemine;
1084;Maitseainete ja -kastmete tootmine;1084;Maitseainete ja -kastmete tootmine;
10841;Maitseainete ja -kastmete tootmine;10841;Maitseainete ja -kastmete tootmine;
1085;Valmistoitude tootmine;1085;Valmistoitude tootmine;
